subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
08EN,45,MI,M1_PA,rest,n45,40.0,55.0,1,4,48.39999999999998,-11.42672827064991,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,n45,40.0,55.0,2,4,48.19999999999999,-10.822443559020758,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,n45,40.0,55.0,3,4,48.0,-9.902552954256535,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,p60,55.0,70.0,1,37,57.0,8.551606304347516,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,p60,55.0,70.0,2,37,56.80000000000001,8.049160737991333,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,p60,55.0,70.0,3,37,57.19999999999999,7.947422724068165,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,n100,80.0,120.0,1,0,101.60000000000002,-14.788931770324707,T7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,n100,80.0,120.0,2,0,101.39999999999998,-14.405541977994144,T7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,n100,80.0,120.0,3,4,103.60000000000002,-13.972646939754487,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n20,10.0,25.0,1,54,16.600000000000023,-5.004047948718071,PO8,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n20,10.0,25.0,2,20,16.80000000000001,-4.856312154531479,O2,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n20,10.0,25.0,3,21,19.0,-4.815760825425387,Oz,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,p30,20.0,40.0,1,31,37.60000000000002,4.270245292782784,TP10,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,p30,20.0,40.0,2,30,38.0,4.223769996464252,T8,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,p30,20.0,40.0,3,30,37.80000000000001,4.22257152415812,T8,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n45,40.0,55.0,1,4,54.60000000000002,-5.119149668812752,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n45,40.0,55.0,2,5,50.80000000000001,-5.081703061759472,F7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n45,40.0,55.0,3,4,55.0,-5.045058286786079,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,p60,55.0,70.0,1,19,55.0,5.512022845745086,Pz,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,p60,55.0,70.0,2,19,57.0,5.320045456886292,Pz,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,p60,55.0,70.0,3,10,55.19999999999999,5.228037362098694,CP1,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n100,80.0,120.0,1,11,104.19999999999999,-8.266167648434639,O1,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n100,80.0,120.0,2,11,102.39999999999998,-8.033927496373654,O1,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n100,80.0,120.0,3,41,102.60000000000002,-7.882517058849334,PO7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n20,10.0,25.0,1,39,22.399999999999977,-5.731434519886971,P5,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n20,10.0,25.0,2,4,15.199999999999989,-5.517046592235565,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n20,10.0,25.0,3,39,23.0,-5.483998998403549,P5,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,p30,20.0,40.0,1,15,39.80000000000001,10.21373389750719,Fp2,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,p30,20.0,40.0,2,15,39.60000000000002,10.125985940992832,Fp2,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,p30,20.0,40.0,3,15,39.0,9.542844423055648,Fp2,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n45,40.0,55.0,1,37,42.39999999999998,-6.157891769558192,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n45,40.0,55.0,2,13,42.60000000000002,-6.0472565820068125,FC1,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n45,40.0,55.0,3,4,47.80000000000001,-5.898377248644829,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,p60,55.0,70.0,1,15,56.80000000000001,11.329545718431472,Fp2,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,p60,55.0,70.0,2,15,57.0,11.015540800094605,Fp2,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,p60,55.0,70.0,3,15,56.60000000000002,10.96560641899705,Fp2,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n100,80.0,120.0,1,0,103.39999999999998,-8.920856318995357,T7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n100,80.0,120.0,2,1,99.60000000000002,-8.791220978796481,TP9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n100,80.0,120.0,3,0,103.80000000000001,-8.722299001514912,T7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n20,10.0,25.0,1,9,10.199999999999989,-9.138848128318786,C3,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n20,10.0,25.0,2,9,10.0,-9.113242879402824,C3,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n20,10.0,25.0,3,9,10.399999999999977,-8.875669895410537,C3,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,p30,20.0,40.0,1,15,20.399999999999977,11.279438573718071,Fp2,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,p30,20.0,40.0,2,12,38.0,11.267393854260444,Fp1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,p30,20.0,40.0,3,12,39.60000000000002,11.173465898260474,Fp1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n45,40.0,55.0,1,31,52.19999999999999,-6.610472083687783,TP10,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n45,40.0,55.0,2,31,51.80000000000001,-6.5906904923915866,TP10,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n45,40.0,55.0,3,31,50.60000000000002,-6.488949362039566,TP10,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,p60,55.0,70.0,1,15,55.19999999999999,11.883548603653908,Fp2,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,p60,55.0,70.0,2,15,55.0,11.853256952762603,Fp2,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,p60,55.0,70.0,3,15,55.39999999999998,11.613260164000094,Fp2,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n100,80.0,120.0,1,0,111.80000000000001,-11.145090929269792,T7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n100,80.0,120.0,2,0,111.60000000000002,-10.860968534350395,T7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n100,80.0,120.0,3,0,111.0,-10.853397835493087,T7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n20,10.0,25.0,1,9,10.0,-8.205294059855598,C3,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n20,10.0,25.0,2,9,10.199999999999989,-7.998748784580705,C3,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n20,10.0,25.0,3,9,10.600000000000023,-7.588783251387732,C3,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,p30,20.0,40.0,1,14,20.0,6.860681393925025,Fz,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,p30,20.0,40.0,2,45,20.19999999999999,6.679117012997063,F1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,p30,20.0,40.0,3,45,20.399999999999977,6.569071099010049,F1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n45,40.0,55.0,1,31,53.0,-5.526247731885132,TP10,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n45,40.0,55.0,2,31,52.80000000000001,-5.428928860520222,TP10,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n45,40.0,55.0,3,31,52.60000000000002,-5.323843780638916,TP10,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,p60,55.0,70.0,1,19,70.0,5.562768756735082,Pz,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,p60,55.0,70.0,2,19,68.60000000000002,5.505051872559956,Pz,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,p60,55.0,70.0,3,19,67.80000000000001,5.4775805751584015,Pz,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n100,80.0,120.0,1,0,118.19999999999999,-7.272661047474462,T7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n100,80.0,120.0,2,0,100.0,-6.945373407736117,T7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n100,80.0,120.0,3,0,117.60000000000002,-6.9404716157183355,T7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n20,10.0,25.0,1,10,17.0,-9.10040489718318,CP1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n20,10.0,25.0,2,10,16.19999999999999,-8.84604310631752,CP1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n20,10.0,25.0,3,10,15.600000000000023,-8.830564702153206,CP1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,p30,20.0,40.0,1,34,39.0,16.064323861300945,AF7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,p30,20.0,40.0,2,12,39.60000000000002,15.817854820489883,Fp1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,p30,20.0,40.0,3,34,39.80000000000001,15.812090336084365,AF7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n45,40.0,55.0,1,10,45.80000000000001,-9.2616009029001,CP1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n45,40.0,55.0,2,10,44.39999999999998,-9.238179531535133,CP1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n45,40.0,55.0,3,10,45.19999999999999,-9.227025125026703,CP1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,p60,55.0,70.0,1,12,69.0,19.786156833171844,Fp1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,p60,55.0,70.0,2,12,70.0,19.70511470913887,Fp1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,p60,55.0,70.0,3,12,69.19999999999999,19.681374224424363,Fp1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n100,80.0,120.0,1,1,95.39999999999998,-10.711724176406861,TP9,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n100,80.0,120.0,2,1,104.39999999999998,-10.640148576535285,TP9,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n100,80.0,120.0,3,1,105.39999999999998,-10.622758430242538,TP9,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
