subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
09TI,55,real,M1_PA,onset,n45,40.0,55.0,1,26,40.19999999999999,-8.189933230280877,F8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,n45,40.0,55.0,2,61,53.60000000000002,-7.895245975106954,AF8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,n45,40.0,55.0,3,24,48.80000000000001,-7.389114415384829,F4,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,p60,55.0,70.0,1,3,64.60000000000002,8.78120283037424,CP5,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,p60,55.0,70.0,2,38,65.0,8.470847928524018,CP3,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,p60,55.0,70.0,3,8,64.19999999999999,7.353497091978788,P3,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,n100,80.0,120.0,1,60,112.39999999999998,-12.856790071129799,F6,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,n100,80.0,120.0,2,61,102.19999999999999,-11.257683278918266,AF8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,onset,n100,80.0,120.0,3,26,100.80000000000001,-11.036670171320438,F8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n20,10.0,25.0,1,45,10.399999999999977,-3.4079004890844224,F1,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
