subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
03AZ,40,real,M1_PA,onset,n45,40.0,55.0,1,48,42.60000000000002,-8.73082195699215,FCz,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,n45,40.0,55.0,2,16,40.60000000000002,-7.272420618534088,Cz,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,n45,40.0,55.0,3,13,43.19999999999999,-5.4893671882152555,FC1,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,p60,55.0,70.0,1,16,62.39999999999998,6.04742257475853,Cz,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,p60,55.0,70.0,2,48,63.39999999999998,5.639966540336609,FCz,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,p60,55.0,70.0,3,17,62.80000000000001,5.414094458818436,FC2,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,n100,80.0,120.0,1,49,105.60000000000002,-5.928578498363495,F2,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,n100,80.0,120.0,2,58,105.19999999999999,-5.6388358910381795,FC4,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,onset,n100,80.0,120.0,3,24,115.80000000000001,-5.533851382732391,F4,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
03AZ,40,real,M1_PA,after,n20,10.0,25.0,1,40,14.399999999999977,-4.908564220666886,PO3,session_40__set_2__cleaned_SOUND.mat; session_40__set_4__cleaned_SOUND.mat,01_03AZ_M1_PA_35MSO_real.hdf5; 03_03AZ_M1_PA_35MSO_real.hdf5
