subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
02NS,41,real,M1_PA,onset,n45,40.0,55.0,1,45,40.80000000000001,-7.211699853138048,F1,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,onset,n45,40.0,55.0,2,14,40.60000000000002,-7.1735758644490675,Fz,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,onset,n45,40.0,55.0,3,48,41.19999999999999,-7.150019391515881,FCz,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,onset,p60,55.0,70.0,1,38,55.19999999999999,6.095304004657938,CP3,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,onset,p60,55.0,70.0,2,38,55.39999999999998,6.064610970263579,CP3,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,onset,p60,55.0,70.0,3,38,55.60000000000002,5.614846068681503,CP3,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,onset,n100,80.0,120.0,1,33,119.39999999999998,-6.839610074551738,TP7,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,onset,n100,80.0,120.0,2,33,119.80000000000001,-6.732643004582853,TP7,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,onset,n100,80.0,120.0,3,33,119.19999999999999,-6.532408558440451,TP7,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,n20,10.0,25.0,1,45,11.0,-16.342342052459717,F1,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
