subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
10ES,52,real,PPC_L,rest,n20,10.0,25.0,1,45,10.0,-21.645812969207764,F1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n20,10.0,25.0,2,45,10.399999999999977,-21.42307590484619,F1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n20,10.0,25.0,3,45,10.199999999999989,-21.368821964263915,F1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,p30,20.0,40.0,1,42,29.19999999999999,15.42639796257019,C1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,p30,20.0,40.0,2,42,31.0,15.20736762702465,C1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,p30,20.0,40.0,3,42,30.80000000000001,15.065772508382798,C1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n45,40.0,55.0,1,51,45.39999999999998,-10.299345536231995,C2,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n45,40.0,55.0,2,51,46.19999999999999,-9.704711697101594,C2,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n45,40.0,55.0,3,51,46.60000000000002,-9.378290103673935,C2,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,p60,55.0,70.0,1,43,59.60000000000002,13.67388998389244,P1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,p60,55.0,70.0,2,43,60.80000000000001,13.36983407497406,P1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,p60,55.0,70.0,3,43,62.80000000000001,13.252116498947144,P1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n100,80.0,120.0,1,1,118.0,-13.14312472820282,TP9,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n100,80.0,120.0,2,1,118.19999999999999,-12.68341025352478,TP9,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,rest,n100,80.0,120.0,3,1,117.80000000000001,-12.312663431167602,TP9,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,n20,10.0,25.0,1,45,10.0,-20.79986806869507,F1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,n20,10.0,25.0,2,45,10.199999999999989,-20.571484661102296,F1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,n20,10.0,25.0,3,45,10.399999999999977,-20.38645029067993,F1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,p30,20.0,40.0,1,10,27.399999999999977,14.951089391708374,CP1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,p30,20.0,40.0,2,10,29.19999999999999,14.740678615570069,CP1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,p30,20.0,40.0,3,50,26.0,14.728074073493481,CPz,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,n45,40.0,55.0,1,13,51.39999999999998,-8.594413042068481,FC1,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
10ES,52,real,PPC_L,onset,n45,40.0,55.0,2,48,47.19999999999999,-8.48302565217018,FCz,session_52__set_9__cleaned_SOUND.mat,08_10ES_PPC_L_55MSO_real.hdf5
